ProductID,ProductName,Category,UnitPrice,StockQuantity,Subcategory
2000,Electronics-Be,Electronics,969.31,23,5.00
2001,Electronics-Be,Clothing,412.35,23,Electronics
2002,Office-Family,Clothing,866.0,43,Office
2003,Electronics-Training,Clothing,385.18,5,6.10
2004,Office-Where,Home,927.25,3,Office
2005,Office-Huge,Home,428.78,6,Office
2006,Office-Class,Clothing,198.0,7,Office
2007,Clothing-Over,Electronics,583.39,8,Apparel
2008,Electronics-Skin,Home,66.59,3,Electronics
2009,Office-Raise,Clothing,66.31,5,Office
2010,Electronics-Themselves,Clothing,77.84,89,Electronics
2011,Electronics-Religious,Clothing,409.74,23,Electronics
2012,Clothing-Artist,Electronics,623.19,46,Apparel
2013,Office-Cultural,Home,935.36,13,Office
2014,Clothing-Eat,Home,246.3,23,Apparel
2015,Office-Itself,Clothing,674.97,23,Office
2016,Home-He,Office,323.02,43,Home
2017,Electronics-Feeling,Electronics,463.7,5,Electronics
2018,Electronics-Nature,Electronics,542.26,3,Electronics
2019,Home-History,Clothing,933.93,6,Home
2020,Electronics-Share,Clothing,375.83,7,Electronics
2021,Clothing-Skill,Office,835.41,8,Apparel
2022,Home-Economy,Electronics,671.18,3,Home
2023,Home-Yeah,Electronics,939.54,5,Home
2024,Clothing-Paper,Home,124.27,89,Apparel
2025,Electronics-Assume,Clothing,279.62,23,Electronics
2026,Clothing-Use,Home,211.56,46,Apparel
2027,Home-Purpose,Office,258.61,13,Home
2028,Electronics-Take,Electronics,637.94,23,Electronics
2029,Home-Yourself,Electronics,13.51,23,Home
2030,Clothing-First,Home,169.97,43,Apparel
2031,Office-Develop,Office,565.3,5,Office
2032,Electronics-There,Electronics,945.6,3,Electronics
2033,Clothing-Argue,Electronics,836.25,6,Apparel
2034,Clothing-Feel,Office,136.17,7,Apparel
2035,Home-According,Home,899.99,8,Home
2036,Electronics-Candidate,Home,217.98,3,Electronics
2037,Clothing-Meeting,Electronics,360.14,5,Apparel
2038,Office-Soon,Clothing,926.51,89,Office
2039,Clothing-Need,Clothing,976.44,23,Apparel
2040,Clothing-Determine,Office,34.54,46,Apparel
2041,Home-Assume,Office,804.21,13,Home
2042,Clothing-Lawyer,Home,167.61,23,Apparel
2043,Electronics-Practice,Office,873.45,23,Electronics
2044,Office-Society,Clothing,207.58,43,Office
2045,Office-Next,Home,312.14,5,Office
2046,Clothing-Worry,Clothing,33.43,3,Apparel
2047,Clothing-Hair,Office,334.98,6,Apparel
2048,Electronics-Candidate,Home,357.63,7,Electronics
2049,Office-Easy,Home,939.84,8,Office
2050,Electronics-Young,Home,186.78,3,Electronics
2051,Home-Century,Electronics,117.32,5,Home
2052,Office-Year,Home,731.26,89,Office
2053,Home-Ground,Office,610.15,23,Home
2054,Electronics-Above,Office,900.51,46,Electronics
2055,Clothing-Politics,Home,53.94,13,Apparel
2056,Office-About,Electronics,524.72,23,Office
2057,Clothing-Identify,Home,436.98,23,Apparel
2058,Home-Wear,Home,666.75,43,Home
2059,Electronics-Clear,Home,512.05,5,Electronics
2060,Office-Term,Home,408.38,3,Office
2061,Home-Quite,Clothing,199.92,6,Home
2062,Office-Receive,Clothing,619.36,7,Office
2063,Home-Good,Office,552.46,8,Home
2064,Electronics-Stop,Home,294.04,3,Electronics
2065,Office-Animal,Home,470.34,5,Office
2066,Office-Occur,Clothing,516.06,89,Office
2067,Clothing-Remain,Electronics,290.95,23,Apparel
2068,Home-Read,Electronics,820.24,46,Home
2069,Clothing-Garden,Home,232.39,13,Apparel
2070,Clothing-About,Clothing,34.18,23,Apparel
2071,Clothing-Success,Office,615.16,23,Apparel
2072,Electronics-Become,Office,420.3,43,Electronics
2073,Clothing-Executive,Office,499.43,5,Apparel
2074,Clothing-Strong,Clothing,659.5,3,Apparel
2075,Electronics-Letter,Electronics,780.64,6,Electronics
2076,Clothing-Affect,Clothing,806.07,7,Apparel
2077,Office-Ball,Electronics,561.83,8,Office
2078,Electronics-Film,Office,142.01,3,Electronics
2079,Office-Who,Home,950.54,5,Office
2080,Office-Doctor,Office,832.26,89,Office
2081,Office-Light,Clothing,746.22,23,Office
2082,Office-Figure,Office,266.6,46,Office
2083,Clothing-Cut,Home,768.16,13,Apparel
2084,Office-Stuff,Clothing,281.85,23,Office
2085,Electronics-Officer,Home,242.15,23,Electronics
2086,Home-Of,Home,894.1,43,Home
2087,Electronics-Rather,Clothing,159.32,5,Electronics
2088,Office-Evening,Clothing,709.35,3,Office
2089,Electronics-Action,Office,413.52,6,Electronics
2090,Office-Staff,Office,71.64,7,Office
2091,Office-Mrs,Office,905.79,8,Office
2092,Electronics-Add,Office,482.21,3,Electronics
2093,Home-Real,Home,755.94,5,Home
2094,Office-Fight,Clothing,493.35,89,Office
2095,Home-Seem,Office,490.79,23,Home
2096,Office-Discuss,Home,672.18,46,Office
2097,Office-Recent,Clothing,842.1,13,Office
2098,Clothing-Trouble,Electronics,907.86,23,Apparel
2099,Electronics-Several,Electronics,646.32,23,Electronics